Energies(kcal/mol): TOTAL_SOLV -8.77203  POLAR_SOLV -10.2517  NONPOLAR_SOLV 1.47968
Energies(kcal/mol): TOTAL_SOLV 1.38199  POLAR_SOLV -0.300396  NONPOLAR_SOLV 1.68239
Energies(kcal/mol): TOTAL_SOLV -2.2318  POLAR_SOLV -4.12549  NONPOLAR_SOLV 1.89369
Energies(kcal/mol): TOTAL_SOLV 0.612181  POLAR_SOLV -1.04695  NONPOLAR_SOLV 1.65913
Energies(kcal/mol): TOTAL_SOLV -5.57962  POLAR_SOLV -6.18532  NONPOLAR_SOLV 0.605698
Energies(kcal/mol): TOTAL_SOLV -6.8589  POLAR_SOLV -7.31913  NONPOLAR_SOLV 0.460238
Energies(kcal/mol): TOTAL_SOLV -16.8333  POLAR_SOLV -17.7429  NONPOLAR_SOLV 0.90955
Energies(kcal/mol): TOTAL_SOLV -1.77105  POLAR_SOLV -4.11588  NONPOLAR_SOLV 2.34484
Energies(kcal/mol): TOTAL_SOLV -1.90807  POLAR_SOLV -4.34542  NONPOLAR_SOLV 2.43735
Energies(kcal/mol): TOTAL_SOLV -8.60914  POLAR_SOLV -9.9893  NONPOLAR_SOLV 1.38017
Energies(kcal/mol): TOTAL_SOLV -2.04891  POLAR_SOLV -3.74172  NONPOLAR_SOLV 1.69282
Energies(kcal/mol): TOTAL_SOLV -9.57344  POLAR_SOLV -9.46658  NONPOLAR_SOLV -0.10686
Energies(kcal/mol): TOTAL_SOLV -2.5984  POLAR_SOLV -2.6639  NONPOLAR_SOLV 0.0655037
Energies(kcal/mol): TOTAL_SOLV -0.831684  POLAR_SOLV -2.95757  NONPOLAR_SOLV 2.12588
Energies(kcal/mol): TOTAL_SOLV 0.712298  POLAR_SOLV -5.04006  NONPOLAR_SOLV 5.75235
Energies(kcal/mol): TOTAL_SOLV -0.795193  POLAR_SOLV -2.65091  NONPOLAR_SOLV 1.85571
Energies(kcal/mol): TOTAL_SOLV 1.54634  POLAR_SOLV 0.0107816  NONPOLAR_SOLV 1.53556
Energies(kcal/mol): TOTAL_SOLV -2.37603  POLAR_SOLV -3.71888  NONPOLAR_SOLV 1.34285
Energies(kcal/mol): TOTAL_SOLV -14.392  POLAR_SOLV -14.5247  NONPOLAR_SOLV 0.132632
Energies(kcal/mol): TOTAL_SOLV -0.694608  POLAR_SOLV -2.62195  NONPOLAR_SOLV 1.92734
Energies(kcal/mol): TOTAL_SOLV 1.85669  POLAR_SOLV 0.078679  NONPOLAR_SOLV 1.77801
Energies(kcal/mol): TOTAL_SOLV -8.82381  POLAR_SOLV -10.183  NONPOLAR_SOLV 1.3592
Energies(kcal/mol): TOTAL_SOLV -5.47426  POLAR_SOLV -6.85143  NONPOLAR_SOLV 1.37717
Energies(kcal/mol): TOTAL_SOLV -3.46604  POLAR_SOLV -4.62888  NONPOLAR_SOLV 1.16285
Energies(kcal/mol): TOTAL_SOLV -3.55299  POLAR_SOLV -4.18679  NONPOLAR_SOLV 0.633796
Energies(kcal/mol): TOTAL_SOLV -16.1882  POLAR_SOLV -16.9226  NONPOLAR_SOLV 0.734356
Energies(kcal/mol): TOTAL_SOLV -0.92828  POLAR_SOLV -4.53373  NONPOLAR_SOLV 3.60545
Energies(kcal/mol): TOTAL_SOLV -5.67653  POLAR_SOLV -6.42196  NONPOLAR_SOLV 0.745435
Energies(kcal/mol): TOTAL_SOLV -0.228507  POLAR_SOLV -1.90641  NONPOLAR_SOLV 1.67791
Energies(kcal/mol): TOTAL_SOLV 1.97702  POLAR_SOLV 0.182557  NONPOLAR_SOLV 1.79446
Energies(kcal/mol): TOTAL_SOLV -3.24424  POLAR_SOLV -5.59856  NONPOLAR_SOLV 2.35432
Energies(kcal/mol): TOTAL_SOLV -2.68274  POLAR_SOLV -2.87461  NONPOLAR_SOLV 0.191873
Energies(kcal/mol): TOTAL_SOLV 1.335  POLAR_SOLV -0.260532  NONPOLAR_SOLV 1.59553
Energies(kcal/mol): TOTAL_SOLV 1.83697  POLAR_SOLV 0.166602  NONPOLAR_SOLV 1.67037
Energies(kcal/mol): TOTAL_SOLV 0.0686026  POLAR_SOLV -1.22876  NONPOLAR_SOLV 1.29737
Energies(kcal/mol): TOTAL_SOLV -0.269105  POLAR_SOLV -1.67785  NONPOLAR_SOLV 1.40875
Energies(kcal/mol): TOTAL_SOLV -5.21995  POLAR_SOLV -5.84218  NONPOLAR_SOLV 0.622237
Energies(kcal/mol): TOTAL_SOLV -4.56522  POLAR_SOLV -6.45694  NONPOLAR_SOLV 1.89172
Energies(kcal/mol): TOTAL_SOLV -4.19466  POLAR_SOLV -5.78865  NONPOLAR_SOLV 1.59399
Energies(kcal/mol): TOTAL_SOLV -4.60447  POLAR_SOLV -5.55972  NONPOLAR_SOLV 0.955251
Energies(kcal/mol): TOTAL_SOLV -0.355507  POLAR_SOLV -1.87626  NONPOLAR_SOLV 1.52076
Energies(kcal/mol): TOTAL_SOLV -4.89393  POLAR_SOLV -6.64805  NONPOLAR_SOLV 1.75412
Energies(kcal/mol): TOTAL_SOLV -0.240046  POLAR_SOLV -1.87786  NONPOLAR_SOLV 1.63782
Energies(kcal/mol): TOTAL_SOLV 1.68652  POLAR_SOLV -0.177948  NONPOLAR_SOLV 1.86447
Energies(kcal/mol): TOTAL_SOLV -6.43339  POLAR_SOLV -7.36249  NONPOLAR_SOLV 0.929107
Energies(kcal/mol): TOTAL_SOLV -0.980915  POLAR_SOLV -0.628248  NONPOLAR_SOLV -0.352667
Energies(kcal/mol): TOTAL_SOLV -3.91346  POLAR_SOLV -5.75297  NONPOLAR_SOLV 1.83951
Energies(kcal/mol): TOTAL_SOLV -4.06815  POLAR_SOLV -5.73663  NONPOLAR_SOLV 1.66848
Energies(kcal/mol): TOTAL_SOLV 0.611144  POLAR_SOLV -0.65336  NONPOLAR_SOLV 1.2645
Energies(kcal/mol): TOTAL_SOLV -8.46829  POLAR_SOLV -11.025  NONPOLAR_SOLV 2.55669
Energies(kcal/mol): TOTAL_SOLV -1.29114  POLAR_SOLV -4.74891  NONPOLAR_SOLV 3.45777
Energies(kcal/mol): TOTAL_SOLV 1.86269  POLAR_SOLV 0.0976434  NONPOLAR_SOLV 1.76505
Energies(kcal/mol): TOTAL_SOLV -3.09733  POLAR_SOLV -5.46816  NONPOLAR_SOLV 2.37083
Energies(kcal/mol): TOTAL_SOLV -1.00571  POLAR_SOLV -2.17497  NONPOLAR_SOLV 1.16926
Energies(kcal/mol): TOTAL_SOLV 0.486341  POLAR_SOLV -3.96867  NONPOLAR_SOLV 4.45501
Energies(kcal/mol): TOTAL_SOLV -10.7985  POLAR_SOLV -12.6503  NONPOLAR_SOLV 1.85182
Energies(kcal/mol): TOTAL_SOLV -2.82514  POLAR_SOLV -5.09524  NONPOLAR_SOLV 2.2701
Energies(kcal/mol): TOTAL_SOLV -3.61156  POLAR_SOLV -5.93935  NONPOLAR_SOLV 2.32779
Energies(kcal/mol): TOTAL_SOLV -8.74158  POLAR_SOLV -10.2197  NONPOLAR_SOLV 1.47816
Energies(kcal/mol): TOTAL_SOLV -0.491218  POLAR_SOLV -1.85863  NONPOLAR_SOLV 1.36741
Energies(kcal/mol): TOTAL_SOLV -5.893  POLAR_SOLV -7.10504  NONPOLAR_SOLV 1.21205
Energies(kcal/mol): TOTAL_SOLV -5.62471  POLAR_SOLV -6.41069  NONPOLAR_SOLV 0.785975
Energies(kcal/mol): TOTAL_SOLV -3.67563  POLAR_SOLV -5.92496  NONPOLAR_SOLV 2.24933
Energies(kcal/mol): TOTAL_SOLV -5.58549  POLAR_SOLV -7.20119  NONPOLAR_SOLV 1.6157
Energies(kcal/mol): TOTAL_SOLV 0.746972  POLAR_SOLV -1.03383  NONPOLAR_SOLV 1.7808
Energies(kcal/mol): TOTAL_SOLV -1.75708  POLAR_SOLV -2.28911  NONPOLAR_SOLV 0.532033
Energies(kcal/mol): TOTAL_SOLV 0.204579  POLAR_SOLV -1.436  NONPOLAR_SOLV 1.64058
Energies(kcal/mol): TOTAL_SOLV 2.34208  POLAR_SOLV 0.254995  NONPOLAR_SOLV 2.08708
Energies(kcal/mol): TOTAL_SOLV -4.25664  POLAR_SOLV -6.15319  NONPOLAR_SOLV 1.89655
Energies(kcal/mol): TOTAL_SOLV -9.08225  POLAR_SOLV -10.3957  NONPOLAR_SOLV 1.31345
Energies(kcal/mol): TOTAL_SOLV -16.3082  POLAR_SOLV -16.9528  NONPOLAR_SOLV 0.644647
Energies(kcal/mol): TOTAL_SOLV 0.675613  POLAR_SOLV -0.736469  NONPOLAR_SOLV 1.41208
Energies(kcal/mol): TOTAL_SOLV -0.842757  POLAR_SOLV -2.24527  NONPOLAR_SOLV 1.40252
Energies(kcal/mol): TOTAL_SOLV -0.708277  POLAR_SOLV -1.9799  NONPOLAR_SOLV 1.27162
Energies(kcal/mol): TOTAL_SOLV -3.18846  POLAR_SOLV -4.45244  NONPOLAR_SOLV 1.26398
Energies(kcal/mol): TOTAL_SOLV -12.4597  POLAR_SOLV -13.4275  NONPOLAR_SOLV 0.967824
Energies(kcal/mol): TOTAL_SOLV -9.48427  POLAR_SOLV -9.37793  NONPOLAR_SOLV -0.106339
Energies(kcal/mol): TOTAL_SOLV -1.16492  POLAR_SOLV -3.27645  NONPOLAR_SOLV 2.11153
Energies(kcal/mol): TOTAL_SOLV -5.09346  POLAR_SOLV -5.71603  NONPOLAR_SOLV 0.62257
Energies(kcal/mol): TOTAL_SOLV -1.39343  POLAR_SOLV -1.78562  NONPOLAR_SOLV 0.392194
Energies(kcal/mol): TOTAL_SOLV -1.59884  POLAR_SOLV -3.66528  NONPOLAR_SOLV 2.06644
Energies(kcal/mol): TOTAL_SOLV -6.15364  POLAR_SOLV -7.40468  NONPOLAR_SOLV 1.25104
Energies(kcal/mol): TOTAL_SOLV -5.00131  POLAR_SOLV -6.5226  NONPOLAR_SOLV 1.52129
Energies(kcal/mol): TOTAL_SOLV -3.2095  POLAR_SOLV -5.60387  NONPOLAR_SOLV 2.39438
Energies(kcal/mol): TOTAL_SOLV -7.67324  POLAR_SOLV -9.9534  NONPOLAR_SOLV 2.28017
Energies(kcal/mol): TOTAL_SOLV -3.83741  POLAR_SOLV -4.2258  NONPOLAR_SOLV 0.388398
Energies(kcal/mol): TOTAL_SOLV -1.30938  POLAR_SOLV -5.02709  NONPOLAR_SOLV 3.71771
Energies(kcal/mol): TOTAL_SOLV -12.1291  POLAR_SOLV -12.5282  NONPOLAR_SOLV 0.399102
Energies(kcal/mol): TOTAL_SOLV -4.70343  POLAR_SOLV -6.17607  NONPOLAR_SOLV 1.47264
Energies(kcal/mol): TOTAL_SOLV -1.92774  POLAR_SOLV -2.83847  NONPOLAR_SOLV 0.910729
Energies(kcal/mol): TOTAL_SOLV -3.10655  POLAR_SOLV -3.4575  NONPOLAR_SOLV 0.350945
Energies(kcal/mol): TOTAL_SOLV -5.34876  POLAR_SOLV -5.78464  NONPOLAR_SOLV 0.435878
Energies(kcal/mol): TOTAL_SOLV -7.62294  POLAR_SOLV -9.20023  NONPOLAR_SOLV 1.57729
Energies(kcal/mol): TOTAL_SOLV -0.911878  POLAR_SOLV -2.78073  NONPOLAR_SOLV 1.86885
Energies(kcal/mol): TOTAL_SOLV -1.28197  POLAR_SOLV -3.18349  NONPOLAR_SOLV 1.90153
Energies(kcal/mol): TOTAL_SOLV -1.00219  POLAR_SOLV -2.18427  NONPOLAR_SOLV 1.18208
Energies(kcal/mol): TOTAL_SOLV -4.43713  POLAR_SOLV -5.7491  NONPOLAR_SOLV 1.31197
Energies(kcal/mol): TOTAL_SOLV -5.97548  POLAR_SOLV -7.31537  NONPOLAR_SOLV 1.33989
Energies(kcal/mol): TOTAL_SOLV -2.07715  POLAR_SOLV -4.00593  NONPOLAR_SOLV 1.92878
Energies(kcal/mol): TOTAL_SOLV -1.05531  POLAR_SOLV -1.47007  NONPOLAR_SOLV 0.414759
Energies(kcal/mol): TOTAL_SOLV -12.3289  POLAR_SOLV -14.0203  NONPOLAR_SOLV 1.69143
Energies(kcal/mol): TOTAL_SOLV -6.36547  POLAR_SOLV -7.49071  NONPOLAR_SOLV 1.12523
Energies(kcal/mol): TOTAL_SOLV -3.73872  POLAR_SOLV -4.18837  NONPOLAR_SOLV 0.449659
Energies(kcal/mol): TOTAL_SOLV -4.90712  POLAR_SOLV -5.49921  NONPOLAR_SOLV 0.592088
Energies(kcal/mol): TOTAL_SOLV -2.16716  POLAR_SOLV -3.04826  NONPOLAR_SOLV 0.8811
Energies(kcal/mol): TOTAL_SOLV -5.53395  POLAR_SOLV -6.47494  NONPOLAR_SOLV 0.940997
Energies(kcal/mol): TOTAL_SOLV -9.53324  POLAR_SOLV -10.0837  NONPOLAR_SOLV 0.550434
Energies(kcal/mol): TOTAL_SOLV -2.72378  POLAR_SOLV -3.62456  NONPOLAR_SOLV 0.900776
Energies(kcal/mol): TOTAL_SOLV -5.39295  POLAR_SOLV -6.20758  NONPOLAR_SOLV 0.814631
Energies(kcal/mol): TOTAL_SOLV -1.64579  POLAR_SOLV -2.67236  NONPOLAR_SOLV 1.02657
Energies(kcal/mol): TOTAL_SOLV -3.96375  POLAR_SOLV -5.97139  NONPOLAR_SOLV 2.00765
Energies(kcal/mol): TOTAL_SOLV -5.61502  POLAR_SOLV -6.76122  NONPOLAR_SOLV 1.1462
Energies(kcal/mol): TOTAL_SOLV -0.741736  POLAR_SOLV -8.10893  NONPOLAR_SOLV 7.36719
Energies(kcal/mol): TOTAL_SOLV -4.32232  POLAR_SOLV -6.81683  NONPOLAR_SOLV 2.49451
Energies(kcal/mol): TOTAL_SOLV -0.690326  POLAR_SOLV -2.40397  NONPOLAR_SOLV 1.71365
Energies(kcal/mol): TOTAL_SOLV -1.6365  POLAR_SOLV -3.77559  NONPOLAR_SOLV 2.1391
Energies(kcal/mol): TOTAL_SOLV -0.956983  POLAR_SOLV -2.23052  NONPOLAR_SOLV 1.27353
Energies(kcal/mol): TOTAL_SOLV -3.74637  POLAR_SOLV -6.44884  NONPOLAR_SOLV 2.70247
Energies(kcal/mol): TOTAL_SOLV -10.5448  POLAR_SOLV -10.9331  NONPOLAR_SOLV 0.388206
Energies(kcal/mol): TOTAL_SOLV -0.450723  POLAR_SOLV -5.79509  NONPOLAR_SOLV 5.34437
Energies(kcal/mol): TOTAL_SOLV -4.88853  POLAR_SOLV -5.77935  NONPOLAR_SOLV 0.890821
Energies(kcal/mol): TOTAL_SOLV 1.79878  POLAR_SOLV -0.16879  NONPOLAR_SOLV 1.96757
Energies(kcal/mol): TOTAL_SOLV -3.11731  POLAR_SOLV -3.83752  NONPOLAR_SOLV 0.720209
Energies(kcal/mol): TOTAL_SOLV -1.99404  POLAR_SOLV -5.08642  NONPOLAR_SOLV 3.09238
Energies(kcal/mol): TOTAL_SOLV -4.98697  POLAR_SOLV -6.7439  NONPOLAR_SOLV 1.75694
Energies(kcal/mol): TOTAL_SOLV -0.694597  POLAR_SOLV -1.48425  NONPOLAR_SOLV 0.789656
Energies(kcal/mol): TOTAL_SOLV -0.392661  POLAR_SOLV -1.47641  NONPOLAR_SOLV 1.08375
Energies(kcal/mol): TOTAL_SOLV -9.18399  POLAR_SOLV -10.9681  NONPOLAR_SOLV 1.78406
Energies(kcal/mol): TOTAL_SOLV 5.20304  POLAR_SOLV -3.05339  NONPOLAR_SOLV 8.25642
Energies(kcal/mol): TOTAL_SOLV -1.41203  POLAR_SOLV -4.64744  NONPOLAR_SOLV 3.23541
Energies(kcal/mol): TOTAL_SOLV -4.72908  POLAR_SOLV -6.06757  NONPOLAR_SOLV 1.33848
Energies(kcal/mol): TOTAL_SOLV -1.25384  POLAR_SOLV -2.38159  NONPOLAR_SOLV 1.12776
Energies(kcal/mol): TOTAL_SOLV -4.65065  POLAR_SOLV -6.28191  NONPOLAR_SOLV 1.63125
Energies(kcal/mol): TOTAL_SOLV 1.791  POLAR_SOLV 0.0740482  NONPOLAR_SOLV 1.71695
Energies(kcal/mol): TOTAL_SOLV -4.04849  POLAR_SOLV -5.4784  NONPOLAR_SOLV 1.4299
Energies(kcal/mol): TOTAL_SOLV -2.50737  POLAR_SOLV -2.9704  NONPOLAR_SOLV 0.463026
Energies(kcal/mol): TOTAL_SOLV 0.28136  POLAR_SOLV -1.13552  NONPOLAR_SOLV 1.41688
Energies(kcal/mol): TOTAL_SOLV -4.4986  POLAR_SOLV -5.68177  NONPOLAR_SOLV 1.18318
Energies(kcal/mol): TOTAL_SOLV -8.37456  POLAR_SOLV -9.89238  NONPOLAR_SOLV 1.51781
Energies(kcal/mol): TOTAL_SOLV -4.84651  POLAR_SOLV -6.12423  NONPOLAR_SOLV 1.27772
Energies(kcal/mol): TOTAL_SOLV -6.47598  POLAR_SOLV -9.3249  NONPOLAR_SOLV 2.84892
Energies(kcal/mol): TOTAL_SOLV -4.47573  POLAR_SOLV -5.94269  NONPOLAR_SOLV 1.46697
Energies(kcal/mol): TOTAL_SOLV -8.73423  POLAR_SOLV -9.2843  NONPOLAR_SOLV 0.550066
Energies(kcal/mol): TOTAL_SOLV -9.87076  POLAR_SOLV -10.9256  NONPOLAR_SOLV 1.05488
Energies(kcal/mol): TOTAL_SOLV 0.901324  POLAR_SOLV -0.443367  NONPOLAR_SOLV 1.34469
Energies(kcal/mol): TOTAL_SOLV -14.3605  POLAR_SOLV -17.5945  NONPOLAR_SOLV 3.23409
Energies(kcal/mol): TOTAL_SOLV -2.4867  POLAR_SOLV -4.30846  NONPOLAR_SOLV 1.82176
Energies(kcal/mol): TOTAL_SOLV 2.35216  POLAR_SOLV 0.202744  NONPOLAR_SOLV 2.14942
Energies(kcal/mol): TOTAL_SOLV -9.27243  POLAR_SOLV -10.9283  NONPOLAR_SOLV 1.65585
Energies(kcal/mol): TOTAL_SOLV -1.1569  POLAR_SOLV -5.64609  NONPOLAR_SOLV 4.4892
Energies(kcal/mol): TOTAL_SOLV -9.1534  POLAR_SOLV -10.9351  NONPOLAR_SOLV 1.78172
Energies(kcal/mol): TOTAL_SOLV -1.74712  POLAR_SOLV -3.70458  NONPOLAR_SOLV 1.95746
Energies(kcal/mol): TOTAL_SOLV 2.51715  POLAR_SOLV 0.245269  NONPOLAR_SOLV 2.27188
Energies(kcal/mol): TOTAL_SOLV -2.91607  POLAR_SOLV -5.52602  NONPOLAR_SOLV 2.60995
Energies(kcal/mol): TOTAL_SOLV -2.77546  POLAR_SOLV -3.61548  NONPOLAR_SOLV 0.840019
Energies(kcal/mol): TOTAL_SOLV -4.402  POLAR_SOLV -6.43488  NONPOLAR_SOLV 2.03288
Energies(kcal/mol): TOTAL_SOLV -2.8368  POLAR_SOLV -3.41036  NONPOLAR_SOLV 0.573555
Energies(kcal/mol): TOTAL_SOLV -10.2402  POLAR_SOLV -12.2032  NONPOLAR_SOLV 1.96306
Energies(kcal/mol): TOTAL_SOLV -4.12141  POLAR_SOLV -6.03128  NONPOLAR_SOLV 1.90988
Energies(kcal/mol): TOTAL_SOLV -0.878852  POLAR_SOLV -2.68624  NONPOLAR_SOLV 1.80739
Energies(kcal/mol): TOTAL_SOLV -1.36764  POLAR_SOLV -3.10033  NONPOLAR_SOLV 1.73269
Energies(kcal/mol): TOTAL_SOLV -6.69985  POLAR_SOLV -8.43431  NONPOLAR_SOLV 1.73446
Energies(kcal/mol): TOTAL_SOLV -4.83994  POLAR_SOLV -6.46936  NONPOLAR_SOLV 1.62942
Energies(kcal/mol): TOTAL_SOLV -0.996988  POLAR_SOLV -2.16821  NONPOLAR_SOLV 1.17122
Energies(kcal/mol): TOTAL_SOLV 0.449541  POLAR_SOLV -1.08893  NONPOLAR_SOLV 1.53847
Energies(kcal/mol): TOTAL_SOLV 1.85182  POLAR_SOLV 0.101314  NONPOLAR_SOLV 1.75051
Energies(kcal/mol): TOTAL_SOLV -2.90893  POLAR_SOLV -4.30404  NONPOLAR_SOLV 1.39511
Energies(kcal/mol): TOTAL_SOLV -2.23614  POLAR_SOLV -4.09581  NONPOLAR_SOLV 1.85968
Energies(kcal/mol): TOTAL_SOLV -3.27211  POLAR_SOLV -4.07078  NONPOLAR_SOLV 0.798671
Energies(kcal/mol): TOTAL_SOLV -0.655276  POLAR_SOLV -3.10689  NONPOLAR_SOLV 2.45161
Energies(kcal/mol): TOTAL_SOLV -7.26618  POLAR_SOLV -7.57377  NONPOLAR_SOLV 0.307591
Energies(kcal/mol): TOTAL_SOLV 1.63527  POLAR_SOLV -0.210029  NONPOLAR_SOLV 1.8453
Energies(kcal/mol): TOTAL_SOLV -1.01795  POLAR_SOLV -2.87577  NONPOLAR_SOLV 1.85782
Energies(kcal/mol): TOTAL_SOLV -4.04056  POLAR_SOLV -6.1949  NONPOLAR_SOLV 2.15434
Energies(kcal/mol): TOTAL_SOLV -10.0566  POLAR_SOLV -12.4786  NONPOLAR_SOLV 2.422
Energies(kcal/mol): TOTAL_SOLV -5.88143  POLAR_SOLV -6.60488  NONPOLAR_SOLV 0.723452
Energies(kcal/mol): TOTAL_SOLV -5.40886  POLAR_SOLV -6.29033  NONPOLAR_SOLV 0.881464
Energies(kcal/mol): TOTAL_SOLV -3.62023  POLAR_SOLV -5.38523  NONPOLAR_SOLV 1.765
Energies(kcal/mol): TOTAL_SOLV -4.83078  POLAR_SOLV -5.69885  NONPOLAR_SOLV 0.868074
Energies(kcal/mol): TOTAL_SOLV -6.73849  POLAR_SOLV -9.44646  NONPOLAR_SOLV 2.70797
Energies(kcal/mol): TOTAL_SOLV -5.47219  POLAR_SOLV -6.3253  NONPOLAR_SOLV 0.853117
Energies(kcal/mol): TOTAL_SOLV 1.95421  POLAR_SOLV 0.119709  NONPOLAR_SOLV 1.8345
Energies(kcal/mol): TOTAL_SOLV -5.5754  POLAR_SOLV -9.86458  NONPOLAR_SOLV 4.28917
Energies(kcal/mol): TOTAL_SOLV -2.38342  POLAR_SOLV -2.76869  NONPOLAR_SOLV 0.385269
Energies(kcal/mol): TOTAL_SOLV -0.199129  POLAR_SOLV -1.70495  NONPOLAR_SOLV 1.50582
Energies(kcal/mol): TOTAL_SOLV -1.18743  POLAR_SOLV -2.22438  NONPOLAR_SOLV 1.03695
Energies(kcal/mol): TOTAL_SOLV -4.84458  POLAR_SOLV -5.7121  NONPOLAR_SOLV 0.867511
Energies(kcal/mol): TOTAL_SOLV -2.0663  POLAR_SOLV -4.37441  NONPOLAR_SOLV 2.30811
Energies(kcal/mol): TOTAL_SOLV -1.9228  POLAR_SOLV -4.80931  NONPOLAR_SOLV 2.88651
Energies(kcal/mol): TOTAL_SOLV -3.80255  POLAR_SOLV -5.53363  NONPOLAR_SOLV 1.73108
Energies(kcal/mol): TOTAL_SOLV -1.71298  POLAR_SOLV -2.97841  NONPOLAR_SOLV 1.26542
Energies(kcal/mol): TOTAL_SOLV -4.30393  POLAR_SOLV -5.67366  NONPOLAR_SOLV 1.36973
Energies(kcal/mol): TOTAL_SOLV -4.12748  POLAR_SOLV -5.73375  NONPOLAR_SOLV 1.60627
Energies(kcal/mol): TOTAL_SOLV 1.06583  POLAR_SOLV -0.421352  NONPOLAR_SOLV 1.48719
Energies(kcal/mol): TOTAL_SOLV -2.47674  POLAR_SOLV -2.64254  NONPOLAR_SOLV 0.165799
Energies(kcal/mol): TOTAL_SOLV -21.0488  POLAR_SOLV -24.5158  NONPOLAR_SOLV 3.46694
Energies(kcal/mol): TOTAL_SOLV -4.66438  POLAR_SOLV -6.48834  NONPOLAR_SOLV 1.82396
Energies(kcal/mol): TOTAL_SOLV -0.771243  POLAR_SOLV -3.04936  NONPOLAR_SOLV 2.27811
Energies(kcal/mol): TOTAL_SOLV 2.18923  POLAR_SOLV 0.160875  NONPOLAR_SOLV 2.02835
Energies(kcal/mol): TOTAL_SOLV -0.372745  POLAR_SOLV -1.93291  NONPOLAR_SOLV 1.56016
Energies(kcal/mol): TOTAL_SOLV -7.96698  POLAR_SOLV -10.0413  NONPOLAR_SOLV 2.07434
Energies(kcal/mol): TOTAL_SOLV -16.3283  POLAR_SOLV -18.9142  NONPOLAR_SOLV 2.5859
Energies(kcal/mol): TOTAL_SOLV -8.0513  POLAR_SOLV -9.61806  NONPOLAR_SOLV 1.56675
Energies(kcal/mol): TOTAL_SOLV 0.0850285  POLAR_SOLV -1.45088  NONPOLAR_SOLV 1.53591
Energies(kcal/mol): TOTAL_SOLV 1.96842  POLAR_SOLV 0.172711  NONPOLAR_SOLV 1.79571
Energies(kcal/mol): TOTAL_SOLV -6.74551  POLAR_SOLV -8.19355  NONPOLAR_SOLV 1.44804
Energies(kcal/mol): TOTAL_SOLV -8.64552  POLAR_SOLV -10.4855  NONPOLAR_SOLV 1.83995
Energies(kcal/mol): TOTAL_SOLV -7.813  POLAR_SOLV -10.6976  NONPOLAR_SOLV 2.88456
Energies(kcal/mol): TOTAL_SOLV -3.1183  POLAR_SOLV -4.68552  NONPOLAR_SOLV 1.56722
Energies(kcal/mol): TOTAL_SOLV -3.65522  POLAR_SOLV -4.27154  NONPOLAR_SOLV 0.616316
Energies(kcal/mol): TOTAL_SOLV -6.13609  POLAR_SOLV -8.6823  NONPOLAR_SOLV 2.5462
Energies(kcal/mol): TOTAL_SOLV -1.59805  POLAR_SOLV -3.02238  NONPOLAR_SOLV 1.42433
Energies(kcal/mol): TOTAL_SOLV -4.22552  POLAR_SOLV -9.4448  NONPOLAR_SOLV 5.21928
Energies(kcal/mol): TOTAL_SOLV -1.71903  POLAR_SOLV -3.5489  NONPOLAR_SOLV 1.82988
Energies(kcal/mol): TOTAL_SOLV -6.08016  POLAR_SOLV -7.66035  NONPOLAR_SOLV 1.58019
Energies(kcal/mol): TOTAL_SOLV -2.73103  POLAR_SOLV -5.43896  NONPOLAR_SOLV 2.70793
Energies(kcal/mol): TOTAL_SOLV -4.23146  POLAR_SOLV -5.60524  NONPOLAR_SOLV 1.37378
Energies(kcal/mol): TOTAL_SOLV -4.02348  POLAR_SOLV -4.82745  NONPOLAR_SOLV 0.803974
Energies(kcal/mol): TOTAL_SOLV -1.08999  POLAR_SOLV -2.33562  NONPOLAR_SOLV 1.24563
Energies(kcal/mol): TOTAL_SOLV -3.50076  POLAR_SOLV -5.70434  NONPOLAR_SOLV 2.20357
Energies(kcal/mol): TOTAL_SOLV 2.31652  POLAR_SOLV 0.276353  NONPOLAR_SOLV 2.04017
Energies(kcal/mol): TOTAL_SOLV -3.60898  POLAR_SOLV -5.71891  NONPOLAR_SOLV 2.10992
Energies(kcal/mol): TOTAL_SOLV -5.03118  POLAR_SOLV -6.24404  NONPOLAR_SOLV 1.21286
Energies(kcal/mol): TOTAL_SOLV -1.85054  POLAR_SOLV -3.76062  NONPOLAR_SOLV 1.91008
Energies(kcal/mol): TOTAL_SOLV 1.70152  POLAR_SOLV 0.0427092  NONPOLAR_SOLV 1.65881
Energies(kcal/mol): TOTAL_SOLV -12.941  POLAR_SOLV -14.2812  NONPOLAR_SOLV 1.34016
Energies(kcal/mol): TOTAL_SOLV -10.3144  POLAR_SOLV -13.9032  NONPOLAR_SOLV 3.5888
Energies(kcal/mol): TOTAL_SOLV -8.33891  POLAR_SOLV -10.4098  NONPOLAR_SOLV 2.07085
Energies(kcal/mol): TOTAL_SOLV -5.17237  POLAR_SOLV -5.89842  NONPOLAR_SOLV 0.726047
Energies(kcal/mol): TOTAL_SOLV -3.56176  POLAR_SOLV -5.73402  NONPOLAR_SOLV 2.17226
Energies(kcal/mol): TOTAL_SOLV -0.939452  POLAR_SOLV -5.6655  NONPOLAR_SOLV 4.72605
Energies(kcal/mol): TOTAL_SOLV -4.40298  POLAR_SOLV -5.87189  NONPOLAR_SOLV 1.46891
Energies(kcal/mol): TOTAL_SOLV -16.0903  POLAR_SOLV -19.5243  NONPOLAR_SOLV 3.43397
